Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
RIG,"Transocean Inc",8.88,-0.059999999999999,-0.67%,8.94,8.68,2733218,"11:36 ET"
MO,"Altria Group",56.45,0.53,+0.95%,56.49,55.56,2722184,"11:36 ET"
IBN,"Icici Bank Ltd",11.02,-0.06,-0.54%,11.09,10.94,2709008,"11:36 ET"
ATVI,"Activision Blizzard",47.27,0.40000000000001,+0.85%,47.54,46.52,2704394,"11:36 ET"
FITB,"Fifth Third Bncp",24.61,-0.010000000000002,-0.04%,24.99,24.36,2703519,"11:36 ET"
ON,"On Semiconductor",20.99,-0.65,-3.00%,21.5,20.73,2690885,"11:36 ET"
QCOM,"Qualcomm Inc",56.68,-0.14,-0.25%,56.94,56.07,2680186,"11:36 ET"
FLEX,"Flextronics Intl Ltd",10.15,-0.039999999999999,-0.39%,10.26,9.98,2617974,"11:36 ET"
SEEL,"Seelos Therapeutics Inc",2.71,0.12,+4.63%,2.8,2.45,2580442,"11:35 ET"
OAS,"Oasis Petroleum Inc",5.93,-0.02,-0.34%,5.97,5.79,2569724,"11:35 ET"
AEG,"Aegon N.V.",4.88,0.05,+1.04%,4.89,4.83,2551813,"11:34 ET"
GM,"General Motors Company",36.93,0.49,+1.34%,37.03,36.26,2534913,"11:36 ET"
ERIC,"Ericsson ADR",9.4,0.11,+1.18%,9.43,9.32,2526912,"11:31 ET"
ESV,"Ensco Plc",4.18,-0.050000000000001,-1.18%,4.22,4.07,2515474,"11:34 ET"
CLF,"Cleveland-Cliffs Inc",9.44,0.14,+1.51%,9.52,9.21,2489872,"11:36 ET"
GPS,"Gap Inc",24.94,0.42,+1.71%,25.06,24.35,2446698,"11:36 ET"
BIIB,"Biogen Inc",218.89,2.18,+1.01%,221.98,216.12,2439259,"11:36 ET"
MRO,"Marathon Oil Corp",16.67,-0.009999999999998,-0.06%,16.76,16.42,2428162,"11:36 ET"
NOG,"Northern Oil and Gas",2.65,-0.01,-0.38%,2.67,2.5,2396730,"11:34 ET"
HAL,"Halliburton Company",28.23,-0.5,-1.74%,28.67,27.96,2380707,"11:36 ET"
BB,"Blackberry Ltd",8.89,-0.13,-1.44%,9.02,8.75,2351043,"11:36 ET"
AMZN,"Amazon.com Inc",1770.49,5.72,+0.32%,1777.96,1747.5,2324903,"11:36 ET"
NWL,"Newell Rubbermaid Inc",15.07,0.07,+0.47%,15.13,14.73,2316855,"11:36 ET"
AGNC,"American Capital Age",17.99,-0.010000000000002,-0.06%,18.03,17.92,2298210,"11:33 ET"
JBLU,"Jetblue Airways Cp",15.8,-0.13,-0.82%,15.93,15.6,2292216,"11:35 ET"
VER,"Vereit Inc",8.47,0.040000000000001,+0.47%,8.47,8.37,2285875,"11:33 ET"
MRVL,"Marvell Tech Group",19.75,0.039999999999999,+0.20%,19.88,19.41,2280305,"11:36 ET"
AMAT,"Applied Materials",39.55,-0.31,-0.78%,40.13,39.06,2223520,"11:36 ET"
S,"Sprint Corp",6.3,0.05,+0.80%,6.32,6.2,2221875,"11:35 ET"
SYF,"Synchrony Financial",31.58,-0.25,-0.79%,32.08,31.34,2202902,"11:36 ET"
SCHW,"The Charles Schwab Corp",42.02,0.22000000000001,+0.53%,42.25,41.46,2196593,"11:36 ET"
GOOS,"Canada Goose Holdings Inc Subordinate Voting Sh",46.09,-2.18,-4.52%,48,45.81,2189796,"11:36 ET"
ET,"Energy Transfer LP",15.18,-0.2,-1.30%,15.34,15.05,2180102,"11:35 ET"
HL,"Hecla Mining Company",2.43,0.0099999999999998,+0.41%,2.46,2.4,2149787,"11:34 ET"
MYL,"Mylan NV Ord Shs",28.43,-0.26,-0.91%,28.67,27.94,2119774,"11:36 ET"
SLB,"Schlumberger N.V.",42.18,-0.29,-0.68%,42.43,41.72,2107628,"11:36 ET"
AKS,"AK Steel Holding Corp",2.69,0.04,+1.51%,2.72,2.61,2101358,"11:35 ET"
BTG,"B2Gold Corp",2.95,0.06,+2.08%,2.97,2.9,2086238,"11:33 ET"
MDR,"McDermott International",6.97,-0.06,-0.85%,7.04,6.81,2077318,"11:35 ET"
INFY,"Infosys Ltd",10.84,-0.040000000000001,-0.37%,10.88,10.8,2063992,"11:35 ET"
SBUX,"Starbucks Corp",72.23,0.27000000000001,+0.38%,72.33,71.73,2041656,"11:36 ET"
MRK,"Merck & Company",82.64,0.34999999999999,+0.43%,82.75,81.92,2026110,"11:36 ET"
REPH,"Recro Pharma Inc",6.21,-3.51,-36.11%,6.5,5.4,2020269,"11:30 ET"
DB,"Deutsche Bank Ag",8.16,-0.050000000000001,-0.61%,8.22,8.1,2018815,"11:36 ET"
AAL,"American Airlines Gp",30.53,-0.039999999999999,-0.13%,30.71,30.16,2013312,"11:36 ET"
NBR,"Nabors Industries",3.49,0.02,+0.57%,3.52,3.38,1997722,"11:35 ET"
VOD,"Vodafone Grp Plc Ads",18.74,-0.2,-1.06%,18.97,18.74,1987673,"11:36 ET"
CELG,"Celgene Corp",88.4,0.25,+0.28%,88.63,87.57,1939022,"11:36 ET"
TME,"Tencent Music Entertainment Group ADR",16.92,-0.059999999999999,-0.35%,17.19,16.45,1936040,"11:36 ET"
BBVA,"Banco Bilbao Viscaya Argentaria S.A.",5.88,0.05,+0.86%,5.93,5.84,1915302,"11:35 ET"
UXIN,"Uxin Limited Ads",3.41,0.04,+1.19%,3.53,3.33,1905774,"11:29 ET"
AXSM,"Axsome Thera",15.91,2.91,+22.38%,15.93,13.99,1904342,"11:36 ET"
ONCE,"Spark Therap",113.25,0.25,+0.22%,113.49,113.1,1896317,"11:36 ET"
CFG,"Citizens Financial Group Inc/Ri",31.85,0.080000000000002,+0.25%,32.18,31.46,1886939,"11:36 ET"
WDC,"Western Digital Cp",48.1,-0.29,-0.60%,48.86,47.09,1871760,"11:36 ET"
V,"Visa Inc",153.64,0.56999999999999,+0.37%,154.06,151.54,1859012,"11:36 ET"
TWLO,Twilio,131.41,1.88,+1.45%,132.89,127.27,1856326,"11:36 ET"
CLDR,"Cloudera Inc",11.06,-0.0099999999999998,-0.09%,11.28,10.91,1848292,"11:36 ET"
QD,"Qudian Inc ADR",4.99,-0.1,-1.96%,5.07,4.85,1839731,"11:33 ET"
ZUO,"Zuora Inc",20.22,-0.69,-3.30%,20.82,19.51,1828735,"11:36 ET"
PG,"Procter & Gamble Company",102.25,0.59,+0.58%,102.25,101.26,1824299,"11:36 ET"
SOLO,"Electrameccanica Vehs Corp",3.85,-0.61,-13.68%,4.08,3.75,1822897,"11:35 ET"
WMB,"Williams Companies",28.52,0.050000000000001,+0.18%,28.55,28.17,1792208,"11:36 ET"
RRC,"Range Resources Corp",10.95,0.08,+0.74%,11,10.58,1787044,"11:36 ET"
UBS,"UBS Group Ag",11.9,0.02,+0.17%,11.95,11.83,1763886,"11:36 ET"
BBT,"BB&T Corp",45,-0.090000000000003,-0.20%,45.78,44.71,1757596,"11:36 ET"
CS,"Credit Suisse Group",11.41,-0.1,-0.87%,11.46,11.31,1752578,"11:35 ET"
BBBY,"Bed Bath & Beyond",14.08,0.38,+2.77%,14.13,13.61,1726977,"11:36 ET"
FIT,"Fitbit Inc",5.76,-0.07,-1.20%,5.9,5.67,1726157,"11:35 ET"
DAL,"Delta Air Lines Inc",49.73,-0.030000000000001,-0.06%,50.04,49.38,1714927,"11:35 ET"
EBAY,"Ebay Inc",36.71,0.060000000000002,+0.16%,36.8,36.28,1689409,"11:35 ET"
HMY,"Harmony Gold Mining Co. Ltd",2.05,0.06,+3.02%,2.06,2,1683198,"11:34 ET"
ABBV,"Abbvie Inc",79.64,-0.12,-0.15%,80.04,78.41,1680968,"11:36 ET"
ING,"VOYA Group N.V.",11.9,0.08,+0.68%,11.95,11.84,1680162,"11:35 ET"
DISCA,"Discovery Comm A",27.27,0.6,+2.25%,27.79,26.65,1677214,"11:36 ET"
HUYA,"Huya Inc",25.66,0.63,+2.52%,25.87,24.53,1677053,"11:36 ET"
WPX,"Wpx Energy Inc",12.33,0.02,+0.16%,12.42,12.09,1672827,"11:36 ET"
AMRN,"Amarin Corp Ads",17.83,0.32,+1.83%,17.93,17.26,1662060,"11:36 ET"
VIPS,"Vipshop Holdings Ltd",7.13,0.18,+2.59%,7.14,6.9,1659723,"11:36 ET"
AEO,"American Eagle Outfitters",20.88,0.88,+4.40%,21,19.81,1645648,"11:36 ET"
AR,"Antero Resources Corp",8.45,0.059999999999999,+0.72%,8.49,8.17,1638574,"11:35 ET"
CPG,"Crescent Pt Energy",3.26,-0.06,-1.81%,3.32,3.17,1636378,"11:33 ET"
LEN,"Lennar Corp",49.3,1.46,+3.05%,49.41,47.74,1610298,"11:36 ET"
GILD,"Gilead Sciences Inc",63.63,-0.14,-0.22%,63.99,62.93,1609014,"11:36 ET"
XLNX,"Xilinx Inc",123.4,-3.49,-2.75%,126.49,123.37,1599457,"11:35 ET"
DHI,"D.R. Horton",41.84,0.91,+2.22%,41.94,40.79,1595764,"11:36 ET"
DVN,"Devon Energy Corp",30.66,0.32,+1.05%,30.79,29.98,1587745,"11:36 ET"
BP,"BP Plc",43.68,-0.27,-0.61%,43.94,43.55,1581446,"11:35 ET"
KR,"Kroger Company",24.35,0.010000000000002,+0.04%,24.38,24.04,1548926,"11:35 ET"
AG,"First Majestic Silver",7.1,0.21,+3.05%,7.1,6.89,1534346,"11:33 ET"
AQMS,"Aqua Metals Inc",3.07,-0.39,-11.27%,3.43,2.91,1520836,"11:34 ET"
XON,"Intrexon Corp",5.11,-0.26,-4.84%,5.46,4.98,1505084,"11:33 ET"
INFN,"Infinera Corp",4.31,-0.010000000000001,-0.23%,4.36,4.19,1491958,"11:36 ET"
AZN,"Astrazeneca Plc",42.66,0.069999999999993,+0.16%,42.79,42.42,1480017,"11:36 ET"
AES,"The Aes Corp",18.27,0.21,+1.16%,18.28,18.01,1478956,"11:32 ET"
CIG,"Comp En DE MN Cemig ADR",3.63,0.08,+2.25%,3.66,3.55,1467008,"11:33 ET"
WMT,"Wal-Mart Stores",98.39,0.11,+0.11%,98.62,97.63,1444834,"11:35 ET"
AMRS,"Amyris Inc",2.26,-0.02,-0.88%,2.32,2.05,1430891,"11:35 ET"
GS,"Goldman Sachs Group",189.07,0.10999999999999,+0.06%,191.45,186.5,1419465,"11:36 ET"
